Portfolio,Ticker,Quantity,Value
Barbell,SGOV,,200000
Barbell,QQQ,,250000
Barbell,IBIT,,150000
Barbell,GLD,,126400

Sliding_Window,SGOV,,100000
Sliding_Window,VGIT,,54000
Sliding_Window,BND,,90000
Sliding_Window,VWO,,36000
Sliding_Window,SCHD,,133000
Sliding_Window,CDC,,35000
Sliding_Window,VIG,,19000
Sliding_Window,GLD,,40000
Sliding_Window,VTI,,256000
Sliding_Window,IEFA,,35000
Sliding_Window,CHAT,,25000
Sliding_Window,QQQ,,54000
Sliding_Window,IBIT,,54000
Sliding_Window,DGIN,,30000
Sliding_Window,VWOB,,39000

Current,SGOV,,34000
Current,VGIT,,75000
Current,BND,,126000
Current,VWOB,,50000
Current,SCHD,,167000
Current,CDC,,48000
Current,VIG,,24000
Current,GLD,,42000
Current,VTI,,249000
Current,IEFA,,38000
Current,VWO,,46000
Current,QQQ,,29000
Current,CHAT,,30000
Current,IBIT,,29000
Current,DGIN,,13000
