Ticker,OverlapDays,MeanAbsDiff_bps,MedianAbsDiff_bps,P95AbsDiff_bps,MaxAbsDiff_bps,OutlierDays_gt1pct,CoverageYahoo,CoverageMW
BND,21,28.31601517863398,33.035226016986385,33.03593852989728,33.03631190737511,0,21.0,22.0
CDC,21,0.44834593429494907,0.4627860920014548,0.7649826617939226,0.7649826617939226,0,21.0,22.0
CHAT,21,0.00017881974398580356,0.00019827645303394092,0.00034496130840722117,0.0003476466203800044,0,21.0,22.0
DGIN,21,0.46199090768882567,0.24701905803059532,1.2083455410083488,1.2219335449437096,0,21.0,22.0
GLD,21,0.0002759553178030164,0.00027807353419895264,0.00044640814489405045,0.00047504339795167994,0,21.0,22.0
IBIT,21,0.0002664331189534897,0.0002418191669129044,0.0004620374982611253,0.0005243570400104147,0,21.0,22.0
IEFA,21,0.0001750856897559621,0.00014494218825156224,0.0003294053874114411,0.00035464935543849663,0,21.0,22.0
QQQ,21,0.000304547625055004,0.0002558187572887505,0.000514630296155616,0.000520112084512192,0,21.0,22.0
SCHD,21,0.0001523581091976753,0.00013821366606769914,0.00033340399774317575,0.0003417421845508528,0,21.0,22.0
SGOV,21,30.74022552001573,35.86355200561275,35.86406830171196,35.86415091580086,0,21.0,22.0
VGIT,21,27.62348444864797,32.227294004862905,32.22782878754549,32.227889365536996,0,21.0,22.0
VIG,21,0.000160832180272154,8.838416221124135e-05,0.00034682351657266963,0.0003486560906651448,0,21.0,22.0
VTI,21,0.00019466239456346015,0.00015445583922968353,0.0004267243081113037,0.0004575634671155626,0,21.0,22.0
VWO,21,0.00017113243922479916,0.00017877902047658267,0.0003259791692133973,0.00035097848405385434,0,21.0,22.0
VWOB,21,40.825414501468586,47.629520842684684,47.63016128693786,47.63040794369067,0,21.0,22.0
